h1_con_name,h1_identities
NN58,"[['fyzyxz', 'fzxzzy'], ['gxzzzx', 'gxyxxz', 'gyyzyx'], ['fyyyzx', 'gyxxzz']]"
Dima5,"[['f12345', 'f23451', 'f21345'], ['fxxyyz', 'fxyyzz']]"
NN56,"[['fxxzzy', 'fyxyxx'], ['fxxzxy', 'fxzzyy']]"
NN63,"[['f12345', 'f23154'], ['fzyzxy', 'fyyyzz', 'fyzzxz']]"
NN59,"[['fyzzxx', 'fyxyzz', 'fzxxxz'], ['gzxyyx', 'gxzyxy', 'gyxzzz'], ['fyyxxx', 'gxzzyx']]"
Min+xv(y+z),"[['tabcxyz', 'tbcaxyz', 'tbacxyz', 'tabcxzy'], ['taaaxyz', 'tabbxyz'], ['tabcxyy', 'tabcxxx'], ['tabcxxy', 'tabcyyx']]"
NN62,"[['f12345', 'f23154'], ['fzxxyy', 'fzyzxy', 'fxyzyz']]"
SN123,"[['f000412', 'f341323']]"
NN60,"[['fzzyxz', 'fzzxyy', 'fxyzzx'], ['gzxxyy', 'gxxzyz', 'gyyyxy'], ['fzyzxz', 'gzxyyz']]"
NN36,"[['fzzxyz', 'fyyzxx'], ['fzzyzx', 'fyxyyx'], ['gzzzyy', 'gyzxyx'], ['gzyzyz', 'gyxxzy'], ['fzyyxz', 'gxzyyy']]"
S2+Min,"[['fxyabc', 'fyxabc', 'fxybac', 'fxybca'], ['fxyabb', 'fxyaaa']]"
NN57,"[['fxyyyy', 'fyxzxz'], ['gzxxzy', 'gxzxyx', 'gyxyzz'], ['fzyzzy', 'gxyzyx']]"
NN41,"[['fzzyzx', 'fxzzyy'], ['fyyzzx', 'fyxxyx']]"
NN65,"[['f11345', 'f33345'], ['faayxy', 'fxzxyy', 'fyzxxz']]"
